customer_id,plan_type,contract_type,subscription_date,total_users,unsubscribed_date,first_billing_date,date_corrected,effective_start,churn,tenure_days,monthly_usage_hrs,feature_adoption_pct,days_since_login,total_billed,avg_payment_value,total_transactions,dunning_count,payment_count,last_billing_date,avg_days_late,max_days_late,late_payment_count,last_payment_date,dunning_ratio,days_since_last_payment,nps_latest,nps_first,nps_avg,nps_min,nps_count,last_survey_date,nps_trend,days_since_survey,ticket_count,critical_tickets,high_tickets,billing_tickets,technical_tickets,feature_req_tickets,open_tickets,resolved_tickets,last_ticket_date,open_ticket_ratio,critical_ticket_ratio,days_since_last_ticket,has_nps
C-0001,starter,monthly,2023-05-31,4,2024-12-05,2023-05-31,0,2023-05-31,1,554,20.1,73.6,34,2139.02,112.58,19,0,19,2024-12-01,2.0,15,4,2024-12-16,0.0,15,0.0,0.0,0.0,0.0,2.0,2024-12-02,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,394.0,1
C-0002,starter,annual,2023-10-31,1,2024-11-02,2023-10-31,0,2023-10-31,1,368,25.6,54.8,67,2148.48,1074.24,2,0,2,2024-10-31,1.0,2,1,2024-11-02,0.0,59,6.0,6.0,6.0,6.0,1.0,2024-04-01,0.0,274.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,2024-11-01,0.25,0.0,60.0,1
C-0003,professional,annual,2023-01-31,9,,2023-01-31,0,2023-01-31,0,700,136.1,66.0,36,47877.600000000006,9575.52,5,3,2,2024-01-31,8.5,11,2,2024-02-06,0.6,329,5.0,5.0,5.0,5.0,0.0,,0.0,393.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,2024-11-25,0.0,0.0,36.0,0
C-0004,starter,monthly,2022-08-31,2,2024-11-24,2022-12-01,0,2022-12-01,1,724,16.2,15.2,37,1373.76,57.24,24,0,24,2024-11-01,0.0,0,0,2024-11-01,0.0,60,4.0,7.0,5.5,4.0,2.0,2024-07-06,-3.0,178.0,8.0,2.0,3.0,1.0,3.0,1.0,0.0,8.0,2024-11-11,0.0,0.25,50.0,1
C-0005,starter,monthly,2021-04-30,1,,2022-08-31,0,2022-08-31,0,853,12.5,63.6,11,1627.64,58.13,28,0,28,2024-12-01,0.5714285714285714,8,3,2024-12-01,0.0,30,3.0,5.0,4.0,3.0,2.0,2024-10-09,-2.0,83.0,8.0,1.0,2.0,2.0,5.0,1.0,2.0,6.0,2024-12-28,0.25,0.125,3.0,1
C-0006,professional,annual,2023-02-28,10,,2021-05-01,1,2021-05-01,0,1340,24.1,89.0,52,35764.8,8941.2,4,0,4,2024-05-01,7.0,14,3,2024-05-15,0.0,230,7.0,4.0,5.5,4.0,2.0,2024-07-20,3.0,164.0,16.0,2.0,2.0,2.0,8.0,2.0,4.0,12.0,2024-12-30,0.25,0.125,1.0,1
C-0007,professional,annual,2021-08-31,12,2024-11-19,2023-03-03,0,2023-03-03,1,627,79.3,40.4,42,15819.6,7909.8,2,0,2,2024-03-03,0.0,0,0,2024-03-03,0.0,303,9.0,10.0,9.5,9.0,2.0,2024-07-10,-1.0,174.0,7.0,1.0,0.0,4.0,1.0,0.0,3.0,4.0,2024-11-07,0.42857142857142855,0.14285714285714285,54.0,1
C-0008,enterprise,monthly,2023-10-31,42,2024-12-18,2021-08-31,1,2021-08-31,1,1205,265.2,27.2,13,89767.86,2189.46,41,0,41,2024-12-01,0.36585365853658536,15,1,2024-12-01,0.0,30,0.0,0.0,0.0,0.0,1.0,2024-07-16,0.0,168.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,2024-12-08,0.25,0.25,23.0,1
C-0009,starter,monthly,2021-04-30,5,,2023-10-31,0,2023-10-31,0,427,4.9,72.2,24,1193.64,85.26,14,0,14,2024-12-01,0.9285714285714286,13,1,2024-12-01,0.0,30,3.0,1.0,2.0,1.0,2.0,2024-07-24,2.0,160.0,4.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0,2024-12-27,0.5,0.0,4.0,1
C-0010,enterprise,monthly,2022-08-31,93,2024-12-28,2021-05-01,1,2021-05-01,1,1337,67.5,54.2,3,172914.28,3929.87,44,0,44,2024-12-01,0.0,0,0,2024-12-01,0.0,30,7.0,7.0,7.0,7.0,1.0,2024-08-15,0.0,138.0,12.0,1.0,5.0,2.0,4.0,2.0,2.0,10.0,2024-12-11,0.16666666666666666,0.08333333333333333,20.0,1
C-0011,starter,monthly,2022-09-30,1,2024-11-23,2022-08-31,1,2022-08-31,1,815,27.5,37.2,38,1407.51,52.13,27,0,27,2024-10-31,1.4814814814814814,12,4,2024-10-31,0.0,61,4.0,3.0,3.5,3.0,2.0,2024-09-29,1.0,93.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2024-10-16,0.0,0.3333333333333333,76.0,1
C-0012,starter,annual,2023-08-31,2,,2022-10-01,1,2022-10-01,0,822,34.6,72.5,84,6979.68,2326.56,3,0,3,2024-10-01,8.333333333333334,14,3,2024-10-09,0.0,83,2.0,3.0,2.5,2.0,2.0,2024-09-02,-1.0,120.0,8.0,1.0,4.0,4.0,0.0,1.0,1.0,7.0,2024-12-01,0.125,0.125,30.0,1
C-0013,enterprise,annual,2022-12-31,16,2024-10-31,2023-08-31,0,2023-08-31,1,427,195.8,47.1,61,24696.72,12348.36,2,0,2,2024-08-31,5.5,6,2,2024-09-06,0.0,116,2.0,2.0,2.0,2.0,1.0,2024-10-21,0.0,71.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2024-10-19,0.25,0.0,73.0,1
C-0014,starter,monthly,2021-09-30,4,2024-12-14,2022-12-31,0,2022-12-31,1,714,14.0,75.3,47,3026.16,126.08999999999999,24,0,24,2024-12-01,0.5,12,1,2024-12-01,0.0,30,8.0,8.0,8.0,8.0,1.0,2024-11-10,0.0,51.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,2024-12-14,0.2,0.2,17.0,1
C-0015,professional,annual,2021-02-28,12,,2021-10-01,0,2021-10-01,0,1187,96.9,80.6,10,44184.6,8836.92,5,1,4,2024-10-01,6.0,8,4,2024-10-06,0.2,86,6.0,5.0,5.5,5.0,2.0,2024-10-29,1.0,63.0,11.0,2.0,3.0,3.0,7.0,0.0,3.0,8.0,2024-12-30,0.2727272727272727,0.18181818181818182,1.0,1
C-0016,professional,monthly,2024-11-30,15,,2021-03-03,1,2021-03-03,0,1399,55.9,65.8,38,28530.58,620.23,46,0,46,2024-12-03,0.32608695652173914,9,2,2024-12-03,0.0,28,6.0,9.0,7.5,6.0,2.0,2024-09-04,-3.0,118.0,11.0,0.0,2.0,5.0,3.0,0.0,2.0,9.0,2024-12-25,0.18181818181818182,0.0,6.0,1
C-0018,starter,monthly,2021-08-31,4,2024-12-26,2024-12-01,0,2024-12-01,1,25,31.1,74.8,5,840.6,168.12,5,4,1,2024-12-01,15.0,15,1,2024-12-16,0.8,15,1.0,0.0,0.5,0.0,2.0,2024-08-22,1.0,131.0,13.0,1.0,3.0,2.0,5.0,3.0,5.0,8.0,2024-12-25,0.38461538461538464,0.07692307692307693,6.0,1
C-0019,professional,monthly,2021-05-31,18,,2021-08-31,0,2021-08-31,0,1218,49.7,22.2,5,24297.600000000002,607.44,40,0,40,2024-12-01,1.025,15,4,2024-12-01,0.0,30,2.0,0.0,1.0,0.0,2.0,2024-12-02,2.0,29.0,12.0,0.0,5.0,4.0,4.0,1.0,4.0,8.0,2024-12-18,0.3333333333333333,0.0,13.0,1
C-0020,starter,annual,2022-09-30,1,,2021-05-31,1,2021-05-31,0,1310,30.0,80.4,30,3690.6,738.12,5,1,4,2024-05-31,11.5,14,4,2024-06-07,0.2,207,4.0,4.0,4.0,4.0,1.0,2024-07-07,0.0,177.0,15.0,0.0,5.0,4.0,7.0,1.0,4.0,11.0,2024-12-27,0.26666666666666666,0.0,4.0,1
C-0021,starter,monthly,2023-12-31,1,,2022-10-01,1,2022-10-01,0,822,40.5,73.5,87,1745.82,64.66,27,0,27,2024-12-01,0.6296296296296297,9,3,2024-12-01,0.0,30,1.0,1.0,1.0,1.0,1.0,2024-09-15,0.0,107.0,6.0,0.0,2.0,0.0,4.0,0.0,2.0,4.0,2024-12-24,0.3333333333333333,0.0,7.0,1
