id,n_relevant_candidates,base_hit,base_mrr,base_ndcg,base_p,treat_hit,treat_mrr,treat_ndcg,treat_p,retrieve_ms,rerank_ms
q02,7,1.0,0.5,0.44149241373678083,0.5,1.0,1.0,0.6366824387328317,0.5,19.320799998240545,548.8505999965128
q03,7,1.0,1.0,0.5855700749881525,0.5,1.0,1.0,1.0,1.0,36.36560001177713,569.7240000008605
q04,1,0.0,0.07692307692307693,0.0,0.0,1.0,1.0,1.0,0.25,19.85650000278838,685.5484000116121
q05,3,0.0,0.09090909090909091,0.0,0.0,1.0,0.5,0.49818925746641285,0.5,19.83130001462996,539.9547999841161
q06,6,1.0,1.0,0.5585075862632192,0.5,1.0,1.0,1.0,1.0,19.706099992617965,650.9605000028387
q07,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.462899992708117,534.4434000144247
q08,7,1.0,1.0,0.8048099750039491,0.75,1.0,1.0,1.0,1.0,33.0987999914214,504.96610000845976
q09,4,1.0,0.5,0.44149241373678083,0.5,1.0,1.0,0.8318724637288826,0.75,19.2860999959521,613.8584000000264
q10,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.12159998412244,559.8515000019688
q11,9,1.0,1.0,0.5855700749881525,0.5,1.0,1.0,0.8048099750039491,0.75,20.95750000444241,508.5282999789342
q13,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.60269998339936,519.942999992054
q14,1,0.0,0.07692307692307693,0.0,0.0,1.0,0.5,0.6309297535714575,0.25,20.073799998499453,575.5893999885302
q16,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.819000018993393,526.8179000122473
q17,1,0.0,0.1,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,21.08470001257956,512.4538999807555
q18,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.95620000222698,529.8567999852821
q19,2,1.0,0.3333333333333333,0.3065735963827292,0.25,1.0,1.0,0.6131471927654584,0.25,23.81959999911487,517.9353000130504
q21,1,1.0,1.0,1.0,0.25,1.0,0.3333333333333333,0.5,0.25,17.634699994232506,469.5703000179492
q22,3,1.0,0.5,0.5307212739772434,0.5,1.0,1.0,0.9674679834891693,0.75,19.58540000487119,486.20369998388924
q23,1,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,40.57250000187196,586.388600000646
q25,3,1.0,1.0,0.46927872602275644,0.25,1.0,1.0,0.46927872602275644,0.25,18.847900006221607,686.7371999833267
q26,8,1.0,1.0,0.8318724637288826,0.75,1.0,1.0,0.8048099750039491,0.75,21.137000003363937,483.0653000099119
q27,11,1.0,1.0,0.75369761125927,0.75,1.0,1.0,0.8318724637288826,0.75,23.629599978448823,586.0439999960363
q28,6,1.0,1.0,0.75369761125927,0.75,1.0,1.0,0.8318724637288826,0.75,18.84179998887703,579.4485000078566
q29,7,1.0,1.0,0.5585075862632192,0.5,1.0,1.0,1.0,1.0,18.23429999058135,641.8393999920227
q30,2,0.0,0.14285714285714285,0.0,0.0,1.0,1.0,0.6131471927654584,0.25,23.87760000419803,529.7621999925468
