text,intent
selamat sore,GREETING
AI apa digunakan untuk prediksi putus kontrak,MODEL_INFO
pelanggan pelanggan besar mana yang mau resign,VIP_RISK
bagaimana tenure mempengaruhi cancel,FAKTOR_CHURN
draf surat elektronik retensi untuk customer kontrak triwulan,DRAF_EMAIL
susun email follow up untuk konsumen C-0850,DRAF_EMAIL
bagaimana lama berlangganan dari klien C-1000,ANALISIS_PELANGGAN
tampilkan ticket count untuk member C-0008,ANALISIS_PELANGGAN
hay,GREETING
sistem prediksi untuk off,MODEL_INFO
bagaimana net promoter score antar kontrak annual,SEGMEN_ANALISIS
analisis lama berlangganan untuk konsumen C-0550,ANALISIS_PELANGGAN
kolom apa yang dipakai untuk prediksi off,MODEL_INFO
selamat pagi,GREETING
bagaimana usage secara keseluruhan 30 hari,METRIK_OVERVIEW
siapkankan draf email untuk pelanggan C-0300,DRAF_EMAIL
donk cek customer premium yang mau kabur,VIP_RISK
ketik email follow up untuk konsumen C-0500,DRAF_EMAIL
pelanggan pelanggan besar mana yang mau cancel,VIP_RISK
buat pesan promosi follow up untuk konsumen C-0600,DRAF_EMAIL
inisiatif untuk subscriber yang hari sejak login-nya rendah,STRATEGI_RETENSI
kebijakan untuk subscriber yang dunning count-nya rendah,STRATEGI_RETENSI
premium yang paling banyak resign,SEGMEN_ANALISIS
total member kontrak bulanan yang mau churn,JUMLAH_RISIKO_TINGGI
berapa jumlah nasabah kontrak annual yang mau off,JUMLAH_RISIKO_TINGGI
perbandingan mundur antar paket tahunan,SEGMEN_ANALISIS
hey,GREETING
klien premium dengan dunning count rendah siapa,VIP_RISK
klien big client dengan pendapatan rendah siapa,VIP_RISK
bagaimana statistik berhenti minggu lalu,TREN_CHURN
bagaimana tingkat adopsi berbeda antar kategori,SEGMEN_ANALISIS
kasih tau metrik utama kuartal,METRIK_OVERVIEW
kasih tau teknik biar off turun,STRATEGI_RETENSI
program untuk member yang tingkat adopsi fitur-nya rendah,STRATEGI_RETENSI
halo mas,GREETING
bagaimana cara kerja neural network cabut,MODEL_INFO
buatkan template surat untuk pelanggan dengan NPS rendah,DRAF_EMAIL
berapa total user kontrak bulanan yang mau cabut,JUMLAH_RISIKO_TINGGI
kenapa customer plan professional banyak yang mundur,FAKTOR_CHURN
starter apa yang paling aman dari cabut,SEGMEN_ANALISIS
berhenti berlangganan tiap kelompok customer,SEGMEN_ANALISIS
pendekatan untuk customer yang probabilitas churn-nya rendah,STRATEGI_RETENSI
tips supaya pengguna tidak cancel,STRATEGI_RETENSI
